Course Title,Course ID,Capacity,Course Instructors,Category,Offering Type
Introduction to Visual Studies,ARTS101_Fall2022_S01,50,Tram Luong,E1,On-campus
Introduction to Visual Studies,ARTS101_Fall2022_S02,50,Richard Streitmatter-Tran,E1,On-campus
Introduction to Art History and Theory,ARTS102_Fall2022_S01,50,Pamela Corey,E1,On-campus
Video and Film Production,ARTS104_Fall2022_S01,25,Aaron Toronto,E1,On-campus
2D/3D Foundations,ARTS107_Fall2022_S01,25,Richard Streitmatter-Tran,E1,On-campus
Principles of Acting,ARTS206_Fall2022_S01,25,Aaron Toronto,E1,On-campus
Sound Art,ARTS303_Fall2022_S01,30,Jacqueline Hoang-Nguyen,C1,On-campus
Independent Study: Advanced Readings in Theory,ARTS398_Fall2022_S01,10,Pamela Corey,EL,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S01,45,Tobias Burgers,CORE,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S02,45,Mark Frank,CORE,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S03,45,Matthew McDonald,CORE,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S04,45,Ian Kalman,CORE,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S05,45,Linda Zhang,CORE,On-campus
Global Humanities and Social Change,CORE101_Fall2022_S06,45,Elsa Costa,CORE,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S01,45,Phan Tuan Ngoc,CORE,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S02,45,Phan Thanh Trung,CORE,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S03,45,Huynh Viet Linh,CORE,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S04,45,Lan Nguyen,CORE,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Fall2022_S05,45,Khieu Van Hoang,CORE,On-campus
Scientific Inquiry,CORE104_Fall2022_S01,45,Nguyen Thi Hong Dung,CORE,On-campus
Scientific Inquiry,CORE104_Fall2022_S02,45,Nguyen Thi Trang,CORE,On-campus
Scientific Inquiry,CORE104_Fall2022_S03,45,Nguyen Thi Huyen Trang,CORE,On-campus
Scientific Inquiry,CORE104_Fall2022_S04,45,Nguyen Giao Hoa,CORE,On-campus
Design and Systems Thinking,CORE105_Fall2022_S01,30,Truong Trung Kien,CORE,On-campus
Design and Systems Thinking,CORE105_Fall2022_S02,30,Nguyen Hop Minh,CORE,On-campus
Design and Systems Thinking,CORE105_Fall2022_S03,30,Phung Manh Duong,CORE,On-campus
Design and Systems Thinking,CORE105_Fall2022_S04,30,Doan Nhat Minh,CORE,On-campus
Design and Systems Thinking,CORE105_Fall2022_S05,30,Le Quan,CORE,On-campus
Computer Science I,CS101_Fall2022_S01,50,Phan Thanh Trung,E4,On-campus
Algorithm,CS102_Fall2022_S01,50,Huynh Viet Linh,C4,On-campus
Computer Organization,CS203_Fall2022_S01,40,Truong Trung Kien,E3 E4,On-campus
Machine Learning for Data Science,CS208_Fall2022_S01,40,Dang Huynh,C4,On-campus
Network and Computer Security ,CS306_Fall2022_S01,30,Nhut Nguyen,C4,Online
Introduction to Machine Learning,CS307_Fall2022_S01,30,Vincent Ng,C4,Online
Advanced Programming Techniques,CS309_Fall2022_S01,30,Synh Ha,C4,On-campus
Principles of Economics 1,ECON101_Fall2022_S01,50,Lan Nguyen,E2,On-campus
Principles of Economics 2,ECON103_Fall2022_S01,50,Khieu Van Hoang,E2,On-campus
Econometrics,ECON209_Fall2022_S01,40,Phan Tuan Ngoc,E2,On-campus
Economics of Inequality,ECON302_Fall2022_S01,30,Khieu Van Hoang,E2,On-campus
Behavioural and Experimental Economics,ECON305_Fall2022_S01,30,Graeme Walker,C2,On-campus
Independent Study: Impacts of (digital) marketing on the success of purpose-driven businesses,ECON398_Fall2022_S01,10,Khieu Van Hoang,C2,On-campus
Market Research Specialization,ECON398_Fall2022_S02,10,Graeme Walker,C2,On-campus
Engineering Exploration: Sink or Swim,ENG102_Fall2022_S01,30,Doan Nhat Minh,E3,On-campus
Product Development,ENG201_Fall2022_S01,25,Le Quan,E3 E4,On-campus
Intelligent Robot Studio: From Theory to Practice,ENG202_Fall2022_S01,30,Phung Manh Duong,E3 E4,On-campus
