Class Time
Mon 8:00 11:00
Mon 9:00 12:00
Tue 8:00 11:00
Tue 9:00 12:00
Wed 8:00 11:00
Wed 9:00 12:00
Thu 8:00 11:00
Thu 9:00 12:00
Fri 8:00 11:00
Fri 8:00 11:00
Mon Wed 7:30 9:00
Tue Thu 7:30 9:00
Wed Fri 7:30 9:00
Mon Wed 8:00 9:30
Wed Fri 8:00 9:30
Tue Thu 8:00 9:30
Mon Wed 9:45 11:15
Tue Thu 9:45 11:15
Wed Fri 9:45 11:15
Mon 13:15 16:15
Tue 13:15 16:15
Wed 13:15 16:15
Thu 13:15 16:15
Fri 13:15 16:15
Mon Wed 13:15 14:45
Tue Thu 13:15 14:45
Wed Fri 13:15 14:45
Mon Wed 15:00 16:30
Tue Thu 15:00 16:30
Wed Fri 15:00 16:30
Mon 17:00 20:00
Tue 17:00 20:00
Wed 17:00 20:00
Thu 17:00 20:00
Fri 17:00 20:00
Mon 10:00 13:00
Tue 10:00 13:00
Wed 10:00 13:00
Thu 10:00 13:00
Fri 10:00 13:00
Mon 15:00 18:00
Tue 15:00 18:00
Wed 15:00 18:00
Thu 15:00 18:00
Fri 15:00 18:00
