Introduction to Visual Studies,ARTS101_Spring2023_S03,50,Jacqueline Hoang-Nguyen,On-campus
Video and Film Production,ARTS104_Spring2023_S02,25,Trinh Dinh Le Minh,On-campus
Introduction to Film History and Theory,ARTS105_Spring2023_S01,50,Linda Zhang,On-campus
Dance and Performance Production,ARTS106_Spring2023_S01,25,Alex Tu Nguyen,On-campus
2D/3D Foundations,ARTS107_Spring2023_S02,25,Richard Streitmatter-Tran,On-campus
Interdisciplinary Drawing,ARTS212_Spring2023_S01,25,Richard Streitmatter-Tran,On-campus
Dance Creation to Performance,ARTS213_Spring2023_S01,25,Alex Tu Nguyen,On-campus
Gender and Sexuality in East Asian Film and Fiction,ARTS304_Spring2023_S01,30,Linda Zhang,On-campus
Curating in Context,ARTS305_Spring2023_S01,30,Arlette Quynh-Anh Tran,On-campus
Modern Vietnamese Culture and Society,CORE102_Spring2023_S01,45,Nguyen Thanh Trung,On-campus
Modern Vietnamese Culture and Society,CORE102_Spring2023_S02,45,Pamela Corey,Online
Modern Vietnamese Culture and Society,CORE102_Spring2023_S03,45,Vu Minh Hoang,On-campus
Modern Vietnamese Culture and Society,CORE102_Spring2023_S04,45,Tram Luong,On-campus
Modern Vietnamese Culture and Society,CORE102_Spring2023_S05,45,Nicolas Weber,On-campus
Modern Vietnamese Culture and Society,CORE102_Spring2023_S06,45,Vu Minh Hoang,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Spring2023_S06,45,Phan Tuan Ngoc,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Spring2023_S07,45,Le Nhat Tan,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Spring2023_S08,45,Van Truong Son,On-campus
Quantitative Reasoning for a Digital Age,CORE103_Spring2023_S09,45,Luu Duc Thi,On-campus
Scientific Inquiry,CORE104_Spring2023_S04,45,Hoang Minh To Nga,On-campus
Scientific Inquiry,CORE104_Spring2023_S05,45,Nguyen Thi Huyen Trang,On-campus
Scientific Inquiry,CORE104_Spring2023_S06,45,Nguyen Thi Hong Dung,On-campus
Design & Systems Thinking,CORE105_Spring2023_S06,30,Truong Trung Kien,On-campus
Design & Systems Thinking,CORE105_Spring2023_S07,30,Nguyen Hop Minh,On-campus
Design & Systems Thinking,CORE105_Spring2023_S08,30,Le Quan,On-campus
Design & Systems Thinking,CORE105_Spring2023_S09,30,Doan Nhat Minh,On-campus
Design & Systems Thinking,CORE105_Spring2023_S10,30,Phung Manh Duong,On-campus
Computer Science 2,CS201_Spring2023_S01,50,Phan Thanh Trung,On-campus
Computational Social Media,CS205_Spring2023_S01,50,Phan Thanh Trung,On-campus
Object-Oriented Analysis and Design Course,CS207_Spring2023_S01,50,Ha Viet Uyen Synh,On-campus
Deep Learning for Artificial Intelligence,CS209_Spring2023_S01,40,Dang Huynh,On-campus
Software Engineering,CS301_Spring2023_S01,50,Klyne Smith,On-campus
Theory of computing,CS302_Spring2023_S01,40,Huynh Viet Linh,On-campus
Principles of Economics 1,ECON101_Spring2023_S02,50,Lan Nguyen,On-campus
Principles of Economics 2,ECON103_Spring2023_S02,50,Hoang Van Khieu,On-campus
Microeconomic Analysis,ECON201_Spring2023_S01,40,Graeme Walker,On-campus
Macroeconomic Analysis,ECON203_Spring2023_S01,40,Luu Duc Thi,On-campus
Digital Marketing,ECON205_Spring2023_S01,40,Willem Smit,On-campus
Giving and Effectiveness,ECON210_Spring2023_S02,40,Dana Doan and Graeme Walker,On-campus
Economics of Education,ECON303_Spring2023_S02,30,Lan Nguyen,On-campus
Economic Development and Globalization,ECON306_Spring2023_S01,30,Phan Tuan Ngoc,On-campus
Psychology Experiential Learning Program,EL101_Spring2023_S01,20,Lan Thi Nguyen,On-campus
Intergrated Engineering Project,ENG205_Spring2023_S01,40,Nguyen Hop Minh,On-campus
Mechanical Design,ENG207_Spring2023_S01,30,Doan Nhat Minh,On-campus
Electronic Devices and Circuits,ENG208_Spring2023_S01,25,Le Quan,On-campus
Signals Systems and Control,ENG209_Spring2023_S01,40,Truong Trung Kien,On-campus
Computer Vision,ENG301_Spring2023_S01,30,Phung Manh Duong,On-campus
Atlantic World,HIS102_Spring2023_S01,50,Elsa Costa,On-campus
Modern East Asia,HIS104_Spring2023_S01,50,Mark Frank,On-campus
The Global Vietnam War II,HIS209_Spring2023_S01,40,Sean Fear,On-campus
History of Capitalism and the Corporation,HIS210_Spring2023_S01,40,Elsa Costa,On-campus
Fulbright History Lab,HIS211_Spring2023_S01,40,Mark Frank,On-campus
History of Vietnamese Republicanism,HIS307_Spring2023_S01,30,Sean Fear,On-campus
Physics of Smart Devices,IS106_Spring2023_S01,40,Nhan Nguyen,On-campus
Sustainable Development: Science and Industries,IS107_Spring2023_S01,50,Nguyen Thi Trang,On-campus
Physics for light-based technology,IS206_Spring2023_S01,30,Son Cao,On-campus
Introduction to Bioinformatics,IS210_Spring2023_S01,40,Huynh Viet Linh,On-campus
Cell Biology,IS212_Spring2023_S01,40,Nguyen Thi Hong Dung,On-campus
Integrated Sciences Advanced Seminar,IS302_Spring2023_S01,30,Nguyen Thi Huyen Trang,On-campus
Advanced Organic Chemistry,IS303_Spring2023_S01,15,Nguyen Thi Trang,On-campus
Medical Biochemistry,IS304_Spring2023_S01,15,Takato Suito,Online
American Short Story,LIT205_Spring2023_S01,40,Quan Ha,On-campus
Transatlantic Fashions,LIT307_Spring2023_S01,30,Katarzyna Stempniak,Online
American Drama since 1900,LIT308_Spring2023_S01,30,Quan Ha,On-campus
Consumption Modernity and Global Queer Identities,LIT309_Spring2023_S01,30,Vinh Phu Pham,Online
Multivariable Calculus,MATH104_Spring2023_S01,50,Van Truong Son,On-campus
Introduction to Data analysis,MATH105_Spring2023_S02,50,Tran Duy Hien,On-campus
Differential Equations,MATH201_Spring2023_S01,40,Nguyen Trung Hieu,On-campus
Discrete Mathematics,MATH202_Spring2023_S01,40,Tran Vinh Linh,On-campus
Probability,MATH205_Spring2023_S01,40,Le Nhat Tan,On-campus
Financial Mathematics,MATH306_Spring2023_S01,30,Le Nhat Tan,On-campus
Real Analysis,MATH307_Spring2023_S01,30,Nguyen Trung Hieu,On-campus
Introduction Psychology,PSY101_Spring2023_S01,50,Nguyen Thi Lan,On-campus
Developmental Psychology,PSY202_Spring2023_S01,40,Ki?u Th? Thanh Trà,On-campus
Community Development,PSY206_Spring2023_S01,40,Hoa Nguyen,On-campus
Applied Social Psychology,PSY301_Spring2023_S01,30,Matthew McDonald,On-campus
Cross Cultural Leadership & Management,PSY305_Spring2023_S01,30,Matthew McDonald,On-campus
Cognitive Behavioural Therapy,PSY307_Spring2023_S01,30,Hoàng Minh T? Nga,On-campus
Spring Seminar,SEM302_Spring2023_S01,50,Faculty Members,On-campus
Social Inquiry and the Social Sciences,SOCI102_Spring2023_S02,50,Liz Miles,Online
Research Methods & Statistics,SOCI105_Spring2023_S01,40,Hoa Nguyen,On-campus
