Introduction to Visual Studies;ARTS101_Fall2022_S01;Tram Luong;50;On-campus
Introduction to Visual Studies;ARTS101_Fall2022_S02;Richard Streitmatter-Tran;50;On-campus
Introduction to Art History and Theory;ARTS102_Fall2022_S01;Pamela Corey;50;On-campus
Video and Film Production;ARTS104_Fall2022_S01;Aaron Toronto;25;On-campus
2D/3D Foundations;ARTS107_Fall2022_S01;Richard Streitmatter-Tran;25;On-campus
Principles of Acting;ARTS206_Fall2022_S01;Aaron Toronto;25;On-campus
Alien Uncanny Strange in E. Asian Cinema;ARTS211_Fall2022_S01;Linda Zhang;40;On-campus
Sound Art;ARTS303_Fall2022_S01;Jacqueline Hoang-Nguyen;30;On-campus
Independent Study: Advanced Readings in Theory;ARTS398_Fall2022_S01;Pamela Corey;10;On-campus
Global Humanities and Social Change;CORE101_Fall2022_S01;Tobias Burgers;45;On-campus
Global Humanities and Social Change;CORE101_Fall2022_S02;Mark Frank;45;On-campus
Global Humanities and Social Change;CORE101_Fall2022_S03;Matthew McDonald;45;On-campus
Global Humanities and Social Change;CORE101_Fall2022_S04;Ian Kalman;45;On-campus
Global Humanities and Social Change;CORE101_Fall2022_S05;Linda Zhang;45;On-campus
Global Humanities and Social Change;CORE101_Fall2022_S06;Elsa Costa;45;On-campus
Quantitative Reasoning for a Digital Age;CORE103_Fall2022_S01;Phan Tuan Ngoc;45;On-campus
Quantitative Reasoning for a Digital Age;CORE103_Fall2022_S02;Phan Thanh Trung;45;On-campus
Quantitative Reasoning for a Digital Age;CORE103_Fall2022_S03;Huynh Viet Linh;45;On-campus
Quantitative Reasoning for a Digital Age;CORE103_Fall2022_S04;Lan Nguyen;45;On-campus
Quantitative Reasoning for a Digital Age;CORE103_Fall2022_S05;Khieu Van Hoang;45;On-campus
Scientific Inquiry;CORE104_Fall2022_S01;Nguyen Thi Hong Dung;45;On-campus
Scientific Inquiry;CORE104_Fall2022_S02;Nguyen Thi Trang;45;On-campus
Scientific Inquiry;CORE104_Fall2022_S03;Nguyen Thi Huyen Trang;45;On-campus
Scientific Inquiry;CORE104_Fall2022_S04;Nguyen Giao Hoa;45;On-campus
Design and Systems Thinking;CORE105_Fall2022_S01;Truong Trung Kien;30;On-campus
Design and Systems Thinking;CORE105_Fall2022_S02;Nguyen Hop Minh;30;On-campus
Design and Systems Thinking;CORE105_Fall2022_S03;Phung Manh Duong;30;On-campus
Design and Systems Thinking;CORE105_Fall2022_S04;Doan Nhat Minh;30;On-campus
Design and Systems Thinking;CORE105_Fall2022_S05;Le Quan;30;On-campus
Computer Science I;CS101_Fall2022_S01;Phan Thanh Trung;50;On-campus
Algorithm;CS102_Fall2022_S01;Huynh Viet Linh;50;On-campus
Computer Organization;CS203_Fall2022_S01;Truong Trung Kien;40;On-campus
Machine Learning for Data Science;CS208_Fall2022_S01;Dang Huynh;40;On-campus
Network and Computer Security ;CS306_Fall2022_S01;Nhut Nguyen;30;Online
Introduction to Machine Learning;CS307_Fall2022_S01;Vincent Ng;30;Online
Advanced Programming Techniques;CS309_Fall2022_S01;Synh Ha;30;On-campus
Principles of Economics 1;ECON101_Fall2022_S01;Lan Nguyen;50;On-campus
Principles of Economics 2;ECON103_Fall2022_S01;Khieu Van Hoang;50;On-campus
Econometrics;ECON209_Fall2022_S01;Phan Tuan Ngoc;40;On-campus
Giving and Effectiveness;ECON210_Fall2022_S01;Dana Doan and Graeme Walker;40;On-campus
Economics of Inequality;ECON302_Fall2022_S01;Khieu Van Hoang;30;On-campus
Behavioural and Experimental Economics;ECON305_Fall2022_S01;Graeme Walker;30;On-campus
Psychology Experiential Learning Program;EL102_Fall2022_S01;Lan Thi Nguyen;20;On-campus
Engineering Exploration: Sink or Swim;ENG102_Fall2022_S01;Doan Nhat Minh;30;On-campus
Product Development;ENG201_Fall2022_S01;Le Quan;25;On-campus
Intelligent Robot Studio: From Theory to Practice;ENG202_Fall2022_S01;Phung Manh Duong;30;On-campus
Sensors Measurement and Analysis;ENG204_Fall2022_S01;Nguyen Hop Minh;40;On-campus
Global History Lab: History of the World;HIS105_Fall2022_S01;Antoine Le;50;Online
US in the World;HIS108_Fall2022_S01;Sean Fear;50;On-campus
The Global Vietnam War I;HIS208_Fall2022_S01;Sean Fear;40;On-campus
History of International Communism;HIS301_Fall2022_S01;Vu Minh Hoang;30;On-campus
Asian Borderlands;HIS304_Fall2022_S01;Mark Frank;30;On-campus
Race and Empire;HIS306_Fall2022_S01;Elsa Costa;30;On-campus
Introductory Biology;IS101_Fall2022_S01;Nguyen Thi Hong Dung;50;On-campus
Environmental Sciences;IS103_Fall2022_S01;Nguyen Thi Huyen Trang;50;On-campus
Organic Chemistry;IS205_Fall2022_S01;Nguyen Thi Trang;40;On-campus
Foundations in Literary Studies;LIT101_Fall2022_S01;Isadora Wagner;50;On-campus
Critical Methods in Literary Studies;LIT103_Fall2022_S01;Yen Vu;50;On-campus
Film Fiction and the Making of Modern Vietnams;LIT303_Fall2022_S01;Yen Vu;30;On-campus
Pacific Voyages in Literature & Film;LIT305_Fall2022_S01;Isadora Wagner;30;On-campus
Calculus;MATH101_Fall2022_S01;Nguyen Trung Hieu;50;On-campus
Ideas of Math;MATH102_Fall2022_S01;Van Truong Son;50;On-campus
Linear Algebra;MATH103_Fall2022_S01;Nguyen Trung Hieu;50;On-campus
